,text,date,likes
10,"⛱ «Чем заняться летом?» — если это ваш поисковой запрос, то у нас отличное таргетированное предложение! Проведите время с пользой в Летних школах от Академии Яндекса.

Организаторы запускают бесплатные программы сразу по четырем направлениям:

— разработка интерфейсов;
— мобильная разработки (iOS, Android, Flutter);
— бэкенд-разработка (Python, Java, C++, Go); 
— менеджмент (управление проектами и продуктами, маркетинг и продуктовая аналитика). 

Сперва — онлайн-лекции от экспертов Яндекса. Затем — практика в офисах в Москве, Белграде и Алматы, где плечом к плечу с другими участниками, разработчиками и менеджерами Яндекса вы будете решать настоящие бизнес-задачи. 

Всем иногородним студентам, которые успешно пройдут онлайн-этап, Яндекс оплатит билеты и проживание на период практического этапа. А лучших участников позовет в штат или на стажировку. 

Регистрируйтесь до 15 марта: https://clck.ru/33eRZt

#career@changellengeglobal #АкадемияЯндекса #Сhangellenge",1677593100,10
11,"Мы делаем карьерное предложение, от которого сложно отказаться: постройте карьеру на крупнейшем пивоваренном производстве. Supply Discovery Trainee — оплачиваемая лидерская программа от AB InBev Efes, на которой вы познакомитесь с внутренними процессами компании, познакомитесь с кросс-функциональной командой и построите карьеру на крупнейшем FMCG-производстве. Эта программа — возможность: 

— погрузиться в бизнес-процессы AB InBev Efes: вы изучите, как устроено предприятие, пообщаетесь с сотрудниками и поработаете в кросс-функциональной команде;
— поработать на производстве: вы сможете прокачать soft и hard skills на реальной практике;
— получить фибдек: на протяжении всей программы вы будете получать обратную связь от ментора. Он ответит на все вопросы и поможет построить план карьерного развития;
— развиваться в отличных условиях: вас ждет достойная зарплата и дополнительные бонусы: курсы по интересующей теме и ДМС. А компания компенсирует затраты на релокацию, жилье и питание.

Подать заявку и узнать подробности: https://clck.ru/33e6iQ 

#career@changellengeglobal #ABInBevEfes #Changellenge",1677586020,3
12,"Устали получать отказы после скрининга и боитесь подаваться в крупные компании? Создайте резюме и сопроводительное письмо с нуля под руководством эксперта Школы Changellenge » и подайте заявку на стажировку прямо на Карьерном Буткемпе! 

Регистрация » https://clck.ru/33eV7D 

#education@changellengeglobal #Changellenge #CLSchool",1677584583,5
13,"Финансисты — талантливые личности, которые придумывают тысячи способов приумножения капитала. Их сложно не заметить и проигнорировать. Не удалось это и известным писателям. В карточках — подборка книг об успешных и не очень финансовых стратегиях »

Хотите глубже погрузиться в мир финансов? Тогда программа «Профессия финансового аналитика» для вас! На курсе вы освоите финансовые инструменты и прокачаете скиллы для успешного старта в сфере.

До 2 марта действует скидка 30%, успейте присоединиться: https://clck.ru/33e5YE

#education@changellengeglobal #Changellenge #CL_BusinessAnalysis #CL_DataAnalyst #CL_FinanceAnalyst #CL_AnalystPRO",1677520921,7
14,"По статистике, каждый третий выпускник не может найти работу по специальности. Но если вы разбираетесь в SQL и неплохо говорите на английском, сделать из вузовских знаний востребованную профессию можно всего за девять месяцев. Это знакомо участникам программы UniCredit IT Academy, которые получают хорошую зарплату с первого дня и учатся у экспертов-практиков. Что еще дает Академия?

— Два карьерных трека на выбор: аналитик или разработчик хранилища данных.
— Работа с реальными бизнес-задачами в крупном банке и возможность остаться в команде после программы. 
— Актуальные hard skills: освоите SQL на продвинутом уровне, инструменты SAS, технологии open source и теорию DWH.
— Развитые soft skills: прокачаете навыки нетворкинга, личной эффективности и целеполагания. 

Мы ждем четверокурсников, магистрантов и выпускников 2021–2022 годов IT-, экономического, технического или математического направления. Раскройте свой потенциал — регистрируйтесь до 19 марта, пока на программе остаются места: https://clck.ru/33duCw

#career@changellengeglobal #Changellenge #Юникредит_Банк",1677514320,13
15,"IT-нетворкинг, прокачка скилов и общение с экспертами frontend-разработки — идеальное сочетание. А если мы скажем, что все это можно найти в одном месте? 

Да-да, команда Alfa Digital проводит A?.Frontend MeetUp #3 — онллайн-ивенут по frontend-разработке, который пройдет 2 марта в 19:00.

Вот, что подготовили для вас спикеры:

— Азат Загитов, frontend-разработчик в Альфа-Банке, расскажет, как взаимодействовать с файлами в браузерах;

— Тимур Гафиулин, frontend-разработчик в Учи.ру, научит, как расширять круг знакомств, если вы — интроверт;

— Вероника Филиппова, frontend-фрилансер, поделится своим опытом вхождения в IT и объяснит, почему для старта лучше выбрать фреймворк Vue.js 

Присоединиться к мероприятию и прокачаться во frontend-разработке можно по ссылке: https://is.gd/68IOT2 

#event@changellengeglobal #АльфаБанк #Changellenge",1677509924,0
16,"Если вы интересуетесь бизнес-аналитикой, то наверняка задавались вопросом: как успешно пройти кейс-интервью? 

На бесплатном вебинаре «Как бизнес-аналитику пройти кейс-интервью?» 2 марта в 19:00 Мск расскажем, какие навыки необходимы начинающему специалисту и кого выбирают нанимающие менеджеры.

Приглашенный эксперт поделится своим опытом и лайфхаками, которые пригодятся при трудоустройстве.

📝 Также вас ждет практическая часть: потренируетесь проходить интервью, решите кейс с реального собеседования и получите обратную связь от спикера!

На трансляции вы узнаете:
🔹 какие этапы интервью на позицию аналитика вам предстоит пройти;
🔹 как подготовиться к отбору после приглашения на собеседование;
🔹 как отвечать на вопросы HR и презентовать себя на интервью, чтобы точно получить оффер.

📢 В завершение проведем Q&A-сессию с экспертом, где вы сможете задать все оставшиеся вопросы!

Регистрируйтесь по ссылке: https://u.to/FaXJHQ

#education@changellengeglobal #Changellenge #CL_BusinessAnalysis #CL_DataAnalyst #CL_FinanceAnalyst #CL_AnalystPRO",1677499680,5
17,"Бесплатный карьерный буткемп: как составить сильное резюме?

Хотите построить карьеру в компаниях уровня Тинькофф, Яндекс и Авито, но получаете отказы после скрининга резюме или боитесь податься?
👉🏼 Создайте сильное резюме и сопроводительное письмо под руководством эксперта и получите практические советы для прохождения собеседования на карьерном буткемпе от Changellenge » Education.

Мероприятия будет полезно студентам всех курсов, которые стремятся найти интересную стажировку или работу и увеличить свои шансы на оффер.

📍 Буткемп пройдет 3 марта в 18:00 Мск по адресу: г. Москва, Финансовый Университет, Ленинградский проспект, 51 корпус, аудитория 0909
Регистрация » https://clck.ru/33c9mY

На буткемпе вы:
✅ поймете структуру резюме и сопроводительного письма, узнаете лайфхаки, которые обратят внимание HR-эксперта именно на ваше CV;
✅ разберете, какие ошибки мешают 90% кандидатов пройти скрининг резюме и как их избежать;
✅ во время воркшопа составите сильное резюме под руководством эксперта Школы Changellenge »;
✅ поймете как работать с hh.ru: оформлять профиль, искать вакансии;
✅ прямо на воркшопе откликнитесь на интересующие вас вакансии.

📄 Отправьте нам свое резюме до 1 марта. Возможно, именно его эксперт детально рассмотрит на буткемпе!

🎁 Все участники получат шаблон структуры резюме. А для первых 30 зарегистрировавшихся — чек-лист по составлению резюме от экспертов Школы Changellenge » в подарок!

Регистрируйтесь » https://clck.ru/33c9mY

#education@changellengeglobal #Changellenge #CLSchool",1677341580,7
18,"Хотите прокачать навыки решения кейсов? Приходите на Case Night от Changellenge » Education совместно с РАНХиГС! 

🕖 Когда? 28 февраля, 18:00
📍 Где? г. Москва, РАНХиГС, проспект Вернадского 82, зал №2/1 корпус
📝Регистрация » https://clck.ru/33c8fb
❗️Важно: мероприятие проводится только для студентов РАНХиГС 

На Case Night вы сможете: 
— освоить кейс-метод на решении бизнес-задачи из практики крупной компании;
— защитить свое решение перед экспертом и получить обратную связь, чтобы больше не допускать распространенных ошибок;
— прокачать навыки работы в команде и обменяться опытом с другими участниками;
— найти надежных сокомандников для осеннего кейс-сезона;
— подготовиться и перестать бояться кейс-интервью;
— зарядиться мотивацией в компании таких же активных ребят. 

Приглашенный эксперт: 
Евгений Котов — бренд-консультант в Arthur Consulting, победитель McKinsey Business Diving 2020

Регистрируйтесь и пройдите в финал кейс-чемпионата уже этой весной » https://clck.ru/33c8fb 

 #education@changellengeglobal #Changellenge #CLSchool",1677255000,6
19,"SUP, челленджеры! Пока вы рассказываете, как у вас дела, мы знакомим с образовательной программой КРОК — Sales UPgrade. 

Компания запустила программу для опытных B2B sales-менеджеров, которые хотят перейти в сферу ИТ-продаж. Эксперты расскажут обо всех важных бизнес-процессах и секретах индустрии. На Sales UPgrade от КРОК вас ждет:

— быстрое погружение в принципы ИТ-продаж; 
— баланс теории и практики с фидбеком от экспертов; 
— специальный оффер в КРОК с учетом вашего бэкграунда.

Узнать подробнее и подать заявку: https://clck.ru/33bZo5 

#career@changellengeglobal #КРОК #Changellenge",1677247560,5
