,0
21,"[(208524934, 152427539), (208524934, 223454361), (208524934, 239397929), (208524934, 246012674), (208524934, 270499286), (208524934, 286553427), (208524934, 415121033), (208524934, 559987190)]"
22,"[(90258943, 5459919), (90258943, 11256363), (90258943, 14692431), (90258943, 26363034), (90258943, 143568032), (90258943, 145707521), (90258943, 148968833), (90258943, 205291062), (90258943, 210883700)]"
23,"[(12703195, 3629911), (12703195, 11361794), (12703195, 11884002), (12703195, 13746684), (12703195, 15002138), (12703195, 30210253), (12703195, 38794630), (12703195, 161603388), (12703195, 251411654)]"
24,"[(162510208, 947713), (162510208, 2798529), (162510208, 2847252), (162510208, 2954789), (162510208, 3616531), (162510208, 4494363), (162510208, 7659640), (162510208, 7895574), (162510208, 10036558), (162510208, 19672958), (162510208, 28782360)]"
25,"[(380850015, 41436191), (380850015, 67323007), (380850015, 84578312), (380850015, 127930737), (380850015, 160311161), (380850015, 161219943), (380850015, 177840832), (380850015, 182330501), (380850015, 185261106), (380850015, 185354099), (380850015, 202858949), (380850015, 226696881), (380850015, 268745552), (380850015, 301828840), (380850015, 321448157), (380850015, 345417501), (380850015, 396594037), (380850015, 434735469), (380850015, 491492720), (380850015, 533950113)]"
26,"[(153736893, 28089565), (153736893, 89970556), (153736893, 104805321), (153736893, 107244232), (153736893, 131725728), (153736893, 131779067), (153736893, 134649328), (153736893, 135790701), (153736893, 136539852), (153736893, 144363758), (153736893, 145486424), (153736893, 146336525), (153736893, 158060726), (153736893, 160686723), (153736893, 161123464), (153736893, 166042846), (153736893, 166598517), (153736893, 170532228), (153736893, 171637362), (153736893, 178878297), (153736893, 184289901), (153736893, 187010665), (153736893, 197628043), (153736893, 209154614), (153736893, 216810944), (153736893, 253466109), (153736893, 253675986), (153736893, 264080534), (153736893, 265782130), (153736893, 280620807), (153736893, 369751825), (153736893, 386949545), (153736893, 611999690)]"
27,"[(127798093, 17858145), (127798093, 22040574), (127798093, 44751544), (127798093, 49124181), (127798093, 64185128), (127798093, 263892759), (127798093, 313787726), (127798093, 392644706)]"
28,"[(11397480, 113393), (11397480, 2697394), (11397480, 4411633), (11397480, 6637681), (11397480, 6703414), (11397480, 7719047), (11397480, 7914981), (11397480, 8545045), (11397480, 8653441), (11397480, 9761754), (11397480, 10105498), (11397480, 10718360), (11397480, 11505099), (11397480, 12144429), (11397480, 12228151), (11397480, 12395691), (11397480, 12607054), (11397480, 12814680), (11397480, 13312564), (11397480, 17418378), (11397480, 20863600), (11397480, 22363512), (11397480, 22557274), (11397480, 22562771), (11397480, 26104337), (11397480, 26349201), (11397480, 26689030), (11397480, 26914210), (11397480, 27813602), (11397480, 35911264), (11397480, 37928858), (11397480, 38596770), (11397480, 42260486), (11397480, 43030128), (11397480, 52229416), (11397480, 55780887), (11397480, 70663368), (11397480, 75854774), (11397480, 82516445), (11397480, 96112869), (11397480, 152165417), (11397480, 155599239), (11397480, 178760847), (11397480, 185081231), (11397480, 191940564), (11397480, 213504717), (11397480, 237025503), (11397480, 240709792), (11397480, 245673653), (11397480, 319266898), (11397480, 382051933)]"
29,"[(182252292, 36263590), (182252292, 134842270), (182252292, 135910842), (182252292, 158505373), (182252292, 404169551), (182252292, 565779845)]"
30,"[(4171612, 1674327), (4171612, 4836928), (4171612, 6625510), (4171612, 8364762), (4171612, 8784825), (4171612, 8787294), (4171612, 9020399), (4171612, 13208274), (4171612, 13230411), (4171612, 13418491), (4171612, 15056771), (4171612, 17660535), (4171612, 17814144), (4171612, 17877975), (4171612, 18678548), (4171612, 21771110), (4171612, 23235775), (4171612, 25002927), (4171612, 26233297), (4171612, 37126853), (4171612, 39093537), (4171612, 83253224), (4171612, 91969163), (4171612, 116000783), (4171612, 137214906), (4171612, 203327559), (4171612, 232155235), (4171612, 311178602)]"
31,"[(40710810, 2477568), (40710810, 5851252), (40710810, 8737722), (40710810, 8796217), (40710810, 11870241), (40710810, 12014903), (40710810, 14157315), (40710810, 16967835), (40710810, 19231762), (40710810, 23367594), (40710810, 26150401), (40710810, 39126571), (40710810, 50625901), (40710810, 52847199), (40710810, 81227964), (40710810, 84258506), (40710810, 131655160), (40710810, 133640643), (40710810, 139279989), (40710810, 140219870), (40710810, 150307945), (40710810, 172215449)]"
32,"[(11759394, 1600552), (11759394, 2445293), (11759394, 2613274), (11759394, 2641021), (11759394, 5043546), (11759394, 5288704), (11759394, 6947801), (11759394, 7923393), (11759394, 9809711), (11759394, 12478883), (11759394, 21597970), (11759394, 21645019), (11759394, 22327891), (11759394, 26213097), (11759394, 34194897), (11759394, 38075387), (11759394, 51656750), (11759394, 54780332), (11759394, 57222746), (11759394, 68235246), (11759394, 68961417), (11759394, 70711977), (11759394, 95439128), (11759394, 101253784), (11759394, 106519286), (11759394, 144452992), (11759394, 263404388), (11759394, 299310374), (11759394, 311575602), (11759394, 319137508), (11759394, 613959819)]"
33,"[(36857468, 101099160), (36857468, 135127450), (36857468, 135216582), (36857468, 142092115), (36857468, 151313298), (36857468, 171416038), (36857468, 183994602), (36857468, 223119826), (36857468, 240286685), (36857468, 270805901), (36857468, 372567407), (36857468, 430352791), (36857468, 445648574)]"
34,"[(58759746, 3752254), (58759746, 20612615), (58759746, 34034365), (58759746, 39945276), (58759746, 82349837), (58759746, 102793529), (58759746, 106866492), (58759746, 148049899), (58759746, 164070759), (58759746, 223088057), (58759746, 236793438), (58759746, 318335399), (58759746, 319695715)]"
35,"[(314557795, 7476674), (314557795, 10586563), (314557795, 34660038), (314557795, 34767982), (314557795, 35111440), (314557795, 55733638), (314557795, 63087990), (314557795, 64210763), (314557795, 69628709), (314557795, 84869012), (314557795, 92672974), (314557795, 95646975), (314557795, 104675568), (314557795, 106106215), (314557795, 108668030), (314557795, 112584329), (314557795, 117699531), (314557795, 120652342), (314557795, 124378594), (314557795, 124992172), (314557795, 128012328), (314557795, 130750678), (314557795, 138150326), (314557795, 139543016), (314557795, 144731358), (314557795, 146932649), (314557795, 160736435), (314557795, 164127918), (314557795, 171231354), (314557795, 173467071), (314557795, 183349074), (314557795, 214329329), (314557795, 215612509), (314557795, 230013606), (314557795, 244428194), (314557795, 258288562), (314557795, 266865282), (314557795, 277471093), (314557795, 353768375), (314557795, 606541121)]"
